year,doy,label,BLU,GRN,RED,NIR,SW1,SW2,RE1,RE2,RE3,BNR
20211008,8,0.654985,541.0,683.0,667.0,1320.0,1139.0,946.0,921.0,1220.0,1433.0,1391.0
20211010,10,0.654985,526.0,623.0,607.0,1620.0,1211.0,938.0,872.0,1307.0,1395.0,1524.0
20211013,13,0.654985,464.0,553.0,591.0,1401.0,1093.0,884.0,795.0,1143.0,1202.0,1282.0
20211023,23,0.654985,725.0,752.0,781.0,1677.0,1298.0,995.0,1041.0,1515.0,1616.0,1502.0
20211028,28,0.654985,583.0,620.0,670.0,1332.0,1079.0,947.0,959.0,1093.0,1363.0,1071.0
20211030,30,0.654985,642.0,729.0,751.0,1459.0,1187.0,993.0,1000.0,1279.0,1418.0,1308.0
20211122,53,0.654985,236.0,288.0,319.0,936.0,889.0,677.0,568.0,713.0,694.0,673.0
20211202,63,0.654985,116.0,102.0,81.0,480.0,527.0,397.0,299.0,462.0,486.0,412.0
20220106,98,0.654985,105.0,153.0,114.0,589.0,571.0,480.0,357.0,428.0,464.0,357.0
20220128,120,0.654985,337.0,309.0,259.0,540.0,550.0,426.0,405.0,443.0,509.0,440.0
20220212,135,0.654985,558.0,603.0,619.0,995.0,1004.0,833.0,759.0,863.0,953.0,862.0
20220307,158,0.654985,604.0,661.0,721.0,1227.0,1231.0,1110.0,943.0,1058.0,1056.0,1076.0
20220309,160,0.654985,706.0,757.0,819.0,1143.0,1268.0,1158.0,1035.0,1187.0,1070.0,1201.0
20220312,163,0.654985,585.0,661.0,743.0,1045.0,1257.0,1195.0,982.0,1076.0,976.0,1110.0
20220314,165,0.654985,731.0,750.0,856.0,1153.0,1223.0,1172.0,933.0,1085.0,1122.0,1224.0
20220322,173,0.654985,592.0,671.0,749.0,1142.0,1253.0,1177.0,943.0,1079.0,1043.0,1121.0
20220324,175,0.654985,729.0,811.0,910.0,1273.0,1368.0,1263.0,1039.0,1241.0,1188.0,1290.0
20220329,180,0.654985,762.0,879.0,985.0,1489.0,1458.0,1273.0,1049.0,1235.0,1420.0,1447.0
20220411,193,0.654985,754.0,784.0,898.0,1443.0,1525.0,1460.0,1093.0,1252.0,1331.0,1465.0
20220416,198,0.654985,540.0,635.0,738.0,1249.0,1273.0,1128.0,1001.0,1234.0,1246.0,1238.0
20220418,200,0.654985,541.0,710.0,754.0,1438.0,1363.0,1229.0,964.0,1203.0,1237.0,1405.0
20220423,205,0.654985,637.0,754.0,856.0,1416.0,1432.0,1278.0,1135.0,1172.0,1268.0,1561.0
20220426,208,0.654985,557.0,679.0,794.0,1460.0,1298.0,1165.0,915.0,1260.0,1295.0,1416.0
20220503,215,0.654985,550.0,746.0,747.0,1794.0,1444.0,1201.0,1142.0,1620.0,1669.0,1809.0
20220506,218,0.654985,763.0,956.0,926.0,2144.0,1580.0,1297.0,1167.0,1956.0,1996.0,2081.0
20220508,220,0.654985,539.0,739.0,701.0,1958.0,1445.0,1146.0,1107.0,1568.0,1788.0,2018.0
20220511,223,0.654985,529.0,770.0,714.0,1859.0,1599.0,1305.0,1035.0,1877.0,1832.0,2034.0
20220516,228,0.654985,677.0,823.0,787.0,2090.0,1424.0,1133.0,998.0,1852.0,2028.0,2184.0
20220518,230,0.654985,500.0,702.0,639.0,2371.0,1523.0,1207.0,1078.0,2097.0,2188.0,2304.0
20220610,253,0.654985,535.0,680.0,727.0,2135.0,1587.0,1330.0,980.0,1682.0,1903.0,2251.0
20220622,265,0.654985,518.0,705.0,699.0,2311.0,1513.0,1146.0,1091.0,1865.0,2032.0,2475.0
20220627,270,0.654985,501.0,700.0,702.0,2329.0,1591.0,1221.0,1026.0,1899.0,1998.0,2538.0
20220702,275,0.654985,577.0,748.0,699.0,2331.0,1539.0,1282.0,1097.0,2120.0,2354.0,2619.0
20220712,285,0.654985,538.0,670.0,632.0,2249.0,1453.0,1084.0,943.0,1768.0,2148.0,2400.0
20220720,293,0.654985,601.0,691.0,756.0,2009.0,1430.0,1159.0,974.0,1630.0,1923.0,2130.0
20220725,298,0.654985,513.0,685.0,652.0,2133.0,1345.0,1046.0,893.0,1661.0,1931.0,2083.0
20220804,308,0.654985,533.0,686.0,635.0,2129.0,1329.0,1004.0,929.0,1596.0,1998.0,2081.0
20220809,313,0.654985,451.0,586.0,622.0,1784.0,1367.0,1109.0,915.0,1600.0,1930.0,1929.0
20220925,360,0.654985,451.0,623.0,616.0,1627.0,1097.0,876.0,899.0,1434.0,1512.0,1615.0
20220930,365,0.654985,510.0,622.0,554.0,2050.0,1160.0,811.0,811.0,1570.0,1614.0,2033.0
