year,doy,label,BLU,GRN,RED,NIR,SW1,SW2,RE1,RE2,RE3,BNR
20221028,28,0.04765,713.0,710.0,653.0,1015.0,1125.0,1228.0,800.0,883.0,927.0,890.0
20221030,30,0.04765,713.0,679.0,711.0,939.0,1105.0,1251.0,743.0,852.0,858.0,869.0
20221102,33,0.04765,559.0,613.0,533.0,789.0,865.0,909.0,589.0,725.0,779.0,739.0
20221114,45,0.04765,670.0,662.0,534.0,823.0,997.0,968.0,680.0,712.0,779.0,787.0
20221127,58,0.04765,500.0,549.0,467.0,692.0,843.0,804.0,561.0,532.0,607.0,739.0
20230116,108,0.04765,494.0,458.0,439.0,643.0,835.0,730.0,547.0,563.0,587.0,625.0
20230406,188,0.04765,479.0,492.0,472.0,809.0,1109.0,1555.0,626.0,666.0,747.0,707.0
20230421,203,0.04765,492.0,492.0,517.0,866.0,1066.0,1440.0,644.0,751.0,743.0,723.0
20230508,220,0.04765,522.0,551.0,527.0,1082.0,1278.0,1797.0,798.0,929.0,1004.0,853.0
20230513,225,0.04765,503.0,593.0,617.0,1107.0,1344.0,1774.0,841.0,971.0,1039.0,883.0
20230526,238,0.04765,493.0,577.0,560.0,1100.0,1337.0,1724.0,768.0,898.0,998.0,939.0
20230528,240,0.04765,552.0,600.0,643.0,1210.0,1369.0,1803.0,818.0,995.0,1150.0,968.0
20230605,248,0.04765,539.0,602.0,614.0,1062.0,1281.0,1665.0,780.0,948.0,1018.0,978.0
20230607,250,0.04765,790.0,881.0,933.0,1517.0,1663.0,1914.0,1070.0,1305.0,1366.0,1473.0
20230707,280,0.04765,620.0,660.0,701.0,1306.0,1454.0,1778.0,895.0,1060.0,1116.0,951.0
20230715,288,0.04765,581.0,564.0,585.0,1110.0,1239.0,1558.0,742.0,937.0,991.0,962.0
20230717,290,0.04765,778.0,830.0,851.0,1341.0,1582.0,2055.0,1001.0,1150.0,1259.0,1209.0
20230816,320,0.04765,668.0,665.0,653.0,1136.0,1422.0,1902.0,872.0,926.0,1007.0,1066.0
20230819,323,0.04765,546.0,592.0,589.0,1084.0,1133.0,1452.0,738.0,946.0,1037.0,945.0
20230821,325,0.04765,640.0,642.0,712.0,1179.0,1487.0,2058.0,873.0,1013.0,1108.0,982.0
20230824,328,0.04765,424.0,408.0,480.0,965.0,1143.0,1477.0,665.0,776.0,910.0,794.0
20230905,340,0.04765,398.0,502.0,484.0,1007.0,1178.0,1488.0,678.0,822.0,917.0,763.0
20230908,343,0.04765,405.0,434.0,444.0,896.0,1020.0,1488.0,614.0,674.0,812.0,695.0
20230910,345,0.04765,442.0,519.0,526.0,1135.0,1231.0,1514.0,765.0,877.0,960.0,745.0
20230915,350,0.04765,534.0,554.0,584.0,977.0,1178.0,1640.0,758.0,846.0,859.0,742.0
20230925,360,0.04765,609.0,642.0,589.0,995.0,1159.0,1432.0,767.0,872.0,915.0,885.0
