year,doy,label,BLU,GRN,RED,NIR,SW1,SW2,RE1,RE2,RE3,BNR
20211008,8,0.011695,849.0,911.0,1135.0,1205.0,1219.0,1149.0,1012.0,1208.0,1147.0,1325.0
20211010,10,0.011695,858.0,965.0,1003.0,1375.0,1274.0,1118.0,1032.0,1298.0,1345.0,1289.0
20211013,13,0.011695,808.0,791.0,1097.0,1292.0,1286.0,1058.0,1032.0,1123.0,1238.0,1300.0
20211023,23,0.011695,625.0,581.0,749.0,855.0,858.0,681.0,766.0,882.0,870.0,909.0
20211028,28,0.011695,736.0,767.0,999.0,1099.0,1040.0,964.0,931.0,1018.0,1025.0,1089.0
20211030,30,0.011695,732.0,763.0,1075.0,1369.0,1295.0,1144.0,1111.0,1255.0,1359.0,1259.0
20220106,98,0.011695,524.0,499.0,536.0,714.0,692.0,581.0,637.0,762.0,740.0,642.0
20220212,135,0.011695,898.0,909.0,1118.0,1193.0,1212.0,1060.0,1136.0,1124.0,1191.0,1263.0
20220307,158,0.011695,759.0,792.0,1107.0,1060.0,1169.0,1122.0,955.0,1037.0,1079.0,1245.0
20220309,160,0.011695,1015.0,1116.0,1575.0,1485.0,1553.0,1521.0,1390.0,1463.0,1457.0,1707.0
20220312,163,0.011695,826.0,824.0,1152.0,1074.0,1220.0,1100.0,955.0,956.0,1044.0,1290.0
20220314,165,0.011695,1092.0,1209.0,1560.0,1488.0,1594.0,1477.0,1386.0,1455.0,1452.0,1728.0
20220322,173,0.011695,799.0,856.0,1156.0,1077.0,1270.0,1142.0,995.0,993.0,1075.0,1312.0
20220324,175,0.011695,1070.0,1137.0,1591.0,1437.0,1619.0,1489.0,1420.0,1441.0,1433.0,1691.0
20220329,180,0.011695,1172.0,1272.0,1626.0,1623.0,1696.0,1635.0,1492.0,1601.0,1614.0,1819.0
20220416,198,0.011695,846.0,938.0,1165.0,1247.0,1384.0,1336.0,1088.0,1196.0,1219.0,1363.0
20220418,200,0.011695,1043.0,1061.0,1190.0,1309.0,1361.0,1344.0,1152.0,1275.0,1281.0,1393.0
20220423,205,0.011695,1051.0,1259.0,1526.0,1651.0,1754.0,1519.0,1459.0,1584.0,1601.0,1747.0
20220426,208,0.011695,813.0,868.0,1044.0,1249.0,1389.0,1302.0,1073.0,1235.0,1209.0,1332.0
20220503,215,0.011695,1004.0,1109.0,1279.0,1621.0,1599.0,1326.0,1262.0,1560.0,1597.0,1736.0
20220508,220,0.011695,911.0,1069.0,1134.0,1699.0,1532.0,1334.0,1267.0,1598.0,1598.0,1602.0
20220511,223,0.011695,875.0,980.0,1063.0,1446.0,1508.0,1314.0,1134.0,1335.0,1338.0,1451.0
20220516,228,0.011695,921.0,1021.0,1079.0,1569.0,1497.0,1335.0,1200.0,1468.0,1514.0,1540.0
20220518,230,0.011695,1004.0,1182.0,1290.0,1822.0,1654.0,1510.0,1343.0,1660.0,1824.0,1793.0
20220605,248,0.011695,928.0,1021.0,1076.0,1561.0,1406.0,1232.0,1188.0,1466.0,1486.0,1439.0
20220610,253,0.011695,820.0,951.0,1036.0,1446.0,1524.0,1324.0,1124.0,1254.0,1416.0,1377.0
20220622,265,0.011695,964.0,1160.0,1246.0,1751.0,1711.0,1442.0,1319.0,1660.0,1760.0,1695.0
20220627,270,0.011695,956.0,1142.0,1243.0,1733.0,1672.0,1488.0,1419.0,1641.0,1708.0,1695.0
20220702,275,0.011695,1064.0,1279.0,1325.0,1784.0,1784.0,1550.0,1379.0,1639.0,1685.0,1812.0
20220712,285,0.011695,1205.0,1328.0,1394.0,1816.0,1682.0,1388.0,1371.0,1726.0,1730.0,1901.0
20220720,293,0.011695,834.0,934.0,1029.0,1404.0,1442.0,1207.0,1179.0,1348.0,1378.0,1371.0
20220725,298,0.011695,753.0,855.0,981.0,1255.0,1341.0,1239.0,1063.0,1246.0,1297.0,1275.0
20220804,308,0.011695,810.0,870.0,960.0,1255.0,1286.0,1137.0,1050.0,1235.0,1178.0,1288.0
20220809,313,0.011695,821.0,930.0,997.0,1397.0,1466.0,1233.0,1077.0,1338.0,1311.0,1338.0
20220811,315,0.011695,1105.0,1281.0,1436.0,1863.0,1775.0,1509.0,1410.0,1684.0,1742.0,1885.0
20220816,320,0.011695,1180.0,1374.0,1476.0,1953.0,1755.0,1549.0,1594.0,1869.0,2001.0,1961.0
20220903,338,0.011695,860.0,910.0,1047.0,1414.0,1325.0,1164.0,1083.0,1339.0,1359.0,1416.0
20220930,365,0.011695,1012.0,1188.0,1363.0,1584.0,1663.0,1448.0,1328.0,1500.0,1652.0,1755.0
