year,doy,label,BLU,GRN,RED,NIR,SW1,SW2,RE1,RE2,RE3,BNR
20221028,28,0.0,819.0,808.0,801.0,1152.0,1127.0,873.0,913.0,1041.0,1103.0,1110.0
20221030,30,0.0,770.0,827.0,800.0,1110.0,1114.0,935.0,888.0,1029.0,1089.0,1057.0
20221102,33,0.0,459.0,534.0,472.0,977.0,950.0,792.0,660.0,858.0,961.0,984.0
20221114,45,0.0,589.0,627.0,582.0,929.0,988.0,818.0,731.0,894.0,854.0,982.0
20221127,58,0.0,412.0,497.0,551.0,1052.0,1116.0,966.0,831.0,904.0,986.0,923.0
20230116,108,0.0,311.0,346.0,392.0,668.0,874.0,752.0,485.0,559.0,638.0,601.0
20230406,188,0.0,884.0,915.0,912.0,1025.0,1326.0,1149.0,909.0,975.0,1001.0,986.0
20230421,203,0.0,961.0,991.0,974.0,1142.0,1279.0,1152.0,1018.0,1085.0,1126.0,1096.0
20230503,215,0.0,1182.0,1241.0,1242.0,1416.0,1499.0,1302.0,1124.0,1321.0,1398.0,1378.0
20230508,220,0.0,1172.0,1307.0,1315.0,1416.0,1561.0,1380.0,1205.0,1379.0,1356.0,1395.0
20230513,225,0.0,1172.0,1208.0,1211.0,1453.0,1501.0,1304.0,1144.0,1411.0,1489.0,1397.0
20230526,238,0.0,954.0,990.0,1058.0,1452.0,1443.0,1217.0,1031.0,1324.0,1438.0,1311.0
20230528,240,0.0,1149.0,1240.0,1271.0,1566.0,1600.0,1427.0,1165.0,1426.0,1557.0,1501.0
20230605,248,0.0,1041.0,1069.0,1094.0,1433.0,1513.0,1246.0,1124.0,1342.0,1368.0,1359.0
20230607,250,0.0,1248.0,1359.0,1407.0,1660.0,1743.0,1522.0,1299.0,1512.0,1645.0,1664.0
20230707,280,0.0,1246.0,1336.0,1334.0,1589.0,1684.0,1479.0,1293.0,1426.0,1513.0,1457.0
20230816,320,0.0,1299.0,1315.0,1394.0,1569.0,1525.0,1279.0,1275.0,1451.0,1508.0,1556.0
20230819,323,0.0,921.0,981.0,991.0,1406.0,1300.0,1103.0,1001.0,1261.0,1348.0,1281.0
20230824,328,0.0,952.0,1041.0,1054.0,1331.0,1327.0,1062.0,983.0,1205.0,1303.0,1311.0
20230905,340,0.0,1293.0,1277.0,1331.0,1464.0,1459.0,1223.0,1098.0,1352.0,1394.0,1452.0
20230908,343,0.0,906.0,960.0,891.0,1284.0,1244.0,1053.0,957.0,1212.0,1250.0,1180.0
20230910,345,0.0,1122.0,1220.0,1252.0,1458.0,1364.0,1149.0,1122.0,1314.0,1428.0,1403.0
20230915,350,0.0,1144.0,1289.0,1281.0,1456.0,1424.0,1193.0,1116.0,1346.0,1436.0,1364.0
20230925,360,0.0,1152.0,1177.0,1188.0,1491.0,1456.0,1201.0,1211.0,1371.0,1464.0,1403.0
