year,doy,label,BLU,GRN,RED,NIR,SW1,SW2,RE1,RE2,RE3,BNR
20211008,8,0.0,688.0,696.0,664.0,1131.0,1035.0,802.0,792.0,1016.0,1065.0,955.0
20211010,10,0.0,442.0,507.0,469.0,983.0,984.0,785.0,696.0,857.0,900.0,747.0
20211013,13,0.0,537.0,598.0,549.0,1066.0,1054.0,778.0,738.0,915.0,985.0,851.0
20211028,28,0.0,490.0,509.0,484.0,890.0,857.0,647.0,690.0,745.0,837.0,713.0
20211030,30,0.0,446.0,440.0,375.0,829.0,883.0,676.0,714.0,769.0,775.0,675.0
20211202,63,0.0,330.0,270.0,258.0,575.0,816.0,598.0,482.0,538.0,554.0,442.0
20220106,98,0.0,316.0,273.0,267.0,561.0,716.0,629.0,489.0,553.0,550.0,383.0
20220212,135,0.0,529.0,474.0,428.0,670.0,864.0,729.0,577.0,634.0,638.0,573.0
20220307,158,0.0,555.0,551.0,524.0,813.0,997.0,910.0,700.0,739.0,781.0,635.0
20220309,160,0.0,519.0,549.0,555.0,796.0,1039.0,885.0,713.0,739.0,738.0,589.0
20220312,163,0.0,611.0,577.0,561.0,836.0,1098.0,932.0,748.0,784.0,853.0,595.0
20220314,165,0.0,589.0,567.0,565.0,843.0,1056.0,926.0,761.0,798.0,804.0,634.0
20220319,170,0.0,708.0,695.0,733.0,932.0,1230.0,1079.0,888.0,958.0,937.0,859.0
20220322,173,0.0,617.0,651.0,657.0,895.0,1179.0,1000.0,799.0,857.0,883.0,699.0
20220324,175,0.0,690.0,684.0,734.0,941.0,1142.0,990.0,878.0,924.0,905.0,789.0
20220327,178,0.0,872.0,955.0,938.0,1055.0,1237.0,1109.0,1004.0,1022.0,1048.0,1002.0
20220329,180,0.0,917.0,938.0,954.0,1156.0,1341.0,1167.0,1023.0,1118.0,1120.0,1060.0
20220416,198,0.0,845.0,865.0,877.0,1221.0,1286.0,1172.0,980.0,1123.0,1164.0,1022.0
20220418,200,0.0,779.0,846.0,838.0,1094.0,1233.0,1105.0,964.0,1030.0,1048.0,1016.0
20220426,208,0.0,841.0,967.0,924.0,1187.0,1315.0,1176.0,1014.0,1131.0,1164.0,1099.0
20220503,215,0.0,813.0,875.0,952.0,1257.0,1399.0,1188.0,921.0,1109.0,1159.0,1159.0
20220508,220,0.0,799.0,857.0,919.0,1342.0,1415.0,1221.0,1030.0,1207.0,1290.0,1193.0
20220516,228,0.0,1001.0,1083.0,1103.0,1503.0,1464.0,1283.0,1124.0,1402.0,1392.0,1486.0
20220518,230,0.0,860.0,929.0,1007.0,1296.0,1525.0,1345.0,1098.0,1227.0,1310.0,1230.0
20220605,248,0.0,1040.0,1136.0,1192.0,1598.0,1635.0,1422.0,1227.0,1526.0,1433.0,1543.0
20220610,253,0.0,1066.0,1102.0,1191.0,1369.0,1658.0,1414.0,1218.0,1441.0,1288.0,1430.0
20220622,265,0.0,884.0,973.0,1029.0,1381.0,1558.0,1378.0,1053.0,1249.0,1261.0,1283.0
20220627,270,0.0,887.0,992.0,1084.0,1234.0,1559.0,1383.0,1041.0,1253.0,1293.0,1327.0
20220712,285,0.0,903.0,999.0,1094.0,1396.0,1615.0,1376.0,1170.0,1245.0,1332.0,1312.0
20220720,293,0.0,970.0,1060.0,1073.0,1371.0,1554.0,1323.0,1139.0,1390.0,1330.0,1372.0
20220725,298,0.0,929.0,1001.0,1056.0,1421.0,1500.0,1285.0,1052.0,1274.0,1328.0,1336.0
20220804,308,0.0,911.0,973.0,1006.0,1285.0,1342.0,1194.0,987.0,1156.0,1245.0,1233.0
20220809,313,0.0,952.0,983.0,1052.0,1163.0,1429.0,1236.0,1068.0,1232.0,1140.0,1300.0
20220811,315,0.0,1022.0,1097.0,1152.0,1661.0,1669.0,1371.0,1253.0,1435.0,1581.0,1477.0
20220903,338,0.0,824.0,890.0,881.0,1192.0,1205.0,1021.0,902.0,1037.0,1166.0,1088.0
20220930,365,0.0,640.0,688.0,629.0,995.0,1060.0,868.0,716.0,940.0,954.0,862.0
