year,doy,label,BLU,GRN,RED,NIR,SW1,SW2,RE1,RE2,RE3,BNR
20221028,28,0.322372,481.0,626.0,483.0,1861.0,1066.0,594.0,837.0,1469.0,1756.0,1925.0
20221030,30,0.322372,493.0,642.0,541.0,1785.0,1073.0,655.0,783.0,1411.0,1526.0,1950.0
20221102,33,0.322372,403.0,507.0,426.0,1561.0,890.0,518.0,684.0,1302.0,1391.0,1508.0
20221114,45,0.322372,380.0,498.0,410.0,1312.0,815.0,489.0,614.0,1055.0,1184.0,1345.0
20221127,58,0.322372,199.0,287.0,249.0,972.0,677.0,424.0,457.0,724.0,808.0,820.0
20230116,108,0.322372,290.0,267.0,289.0,811.0,790.0,511.0,394.0,593.0,706.0,784.0
20230406,188,0.322372,350.0,528.0,447.0,1974.0,1547.0,1006.0,845.0,1601.0,1792.0,1934.0
20230421,203,0.322372,396.0,595.0,475.0,2062.0,1381.0,907.0,900.0,1672.0,1881.0,1921.0
20230503,215,0.322372,319.0,609.0,429.0,2436.0,1529.0,958.0,1002.0,2110.0,2284.0,2433.0
20230508,220,0.322372,297.0,592.0,400.0,2691.0,1509.0,869.0,939.0,2202.0,2470.0,2525.0
20230513,225,0.322372,290.0,587.0,351.0,2983.0,1544.0,894.0,1002.0,2459.0,2867.0,2853.0
20230526,238,0.322372,349.0,554.0,364.0,3272.0,1488.0,795.0,899.0,2590.0,3116.0,3140.0
20230528,240,0.322372,343.0,587.0,405.0,3311.0,1629.0,891.0,912.0,2580.0,3076.0,3188.0
20230605,248,0.322372,375.0,601.0,395.0,3220.0,1520.0,836.0,954.0,2451.0,3031.0,3225.0
20230607,250,0.322372,423.0,689.0,488.0,3481.0,1701.0,923.0,937.0,2695.0,3246.0,3611.0
20230707,280,0.322372,227.0,514.0,299.0,3430.0,1533.0,790.0,789.0,2542.0,3145.0,3414.0
20230715,288,0.322372,376.0,567.0,416.0,3190.0,1530.0,818.0,871.0,2407.0,3009.0,3187.0
20230816,320,0.322372,217.0,473.0,271.0,3076.0,1377.0,670.0,688.0,2272.0,2762.0,3050.0
20230819,323,0.322372,335.0,544.0,349.0,2818.0,1243.0,661.0,735.0,2085.0,2563.0,2834.0
20230824,328,0.322372,282.0,466.0,315.0,2796.0,1266.0,635.0,734.0,2130.0,2572.0,2751.0
20230905,340,0.322372,196.0,395.0,261.0,2621.0,1252.0,623.0,632.0,1982.0,2407.0,2444.0
20230908,343,0.322372,297.0,466.0,311.0,2434.0,1101.0,599.0,657.0,1825.0,2218.0,2378.0
20230910,345,0.322372,264.0,437.0,322.0,2639.0,1273.0,671.0,708.0,1888.0,2419.0,2340.0
