year,doy,label,BLU,GRN,RED,NIR,SW1,SW2,RE1,RE2,RE3,BNR
20221028,28,0.0,558.0,578.0,504.0,905.0,909.0,646.0,764.0,885.0,856.0,934.0
20221030,30,0.0,477.0,565.0,489.0,967.0,877.0,650.0,765.0,927.0,944.0,831.0
20221114,45,0.0,473.0,451.0,401.0,579.0,666.0,523.0,547.0,528.0,588.0,536.0
20221127,58,0.0,304.0,203.0,236.0,523.0,604.0,463.0,370.0,420.0,435.0,360.0
20230116,108,0.0,245.0,201.0,206.0,431.0,646.0,493.0,353.0,371.0,364.0,357.0
20230406,188,0.0,450.0,559.0,497.0,1027.0,1151.0,892.0,814.0,913.0,919.0,868.0
20230421,203,0.0,493.0,549.0,505.0,1162.0,1052.0,852.0,819.0,1099.0,1096.0,952.0
20230503,215,0.0,437.0,612.0,576.0,1445.0,1339.0,986.0,903.0,1377.0,1327.0,1273.0
20230508,220,0.0,424.0,492.0,486.0,1432.0,1233.0,937.0,836.0,1269.0,1369.0,1323.0
20230528,240,0.0,494.0,616.0,585.0,1653.0,1424.0,1099.0,958.0,1436.0,1588.0,1520.0
20230605,248,0.0,728.0,801.0,790.0,1601.0,1443.0,1053.0,1061.0,1379.0,1507.0,1588.0
20230607,250,0.0,738.0,852.0,824.0,1936.0,1651.0,1223.0,1091.0,1620.0,1811.0,1718.0
20230715,288,0.0,859.0,950.0,978.0,1724.0,1487.0,1166.0,1021.0,1520.0,1686.0,1593.0
20230717,290,0.0,768.0,866.0,880.0,1866.0,1741.0,1315.0,1128.0,1520.0,1613.0,1557.0
20230816,320,0.0,416.0,494.0,457.0,1541.0,1276.0,883.0,808.0,1318.0,1440.0,1181.0
20230824,328,0.0,361.0,513.0,449.0,1537.0,1227.0,819.0,874.0,1346.0,1581.0,1214.0
20230905,340,0.0,187.0,263.0,226.0,1267.0,1053.0,779.0,686.0,1223.0,1296.0,1064.0
20230908,343,0.0,346.0,405.0,380.0,1186.0,1063.0,753.0,748.0,1094.0,1095.0,1100.0
20230910,345,0.0,312.0,338.0,329.0,1311.0,1095.0,771.0,675.0,1031.0,1131.0,1136.0
20230915,350,0.0,271.0,308.0,289.0,1176.0,1015.0,739.0,683.0,1017.0,1105.0,1043.0
20230925,360,0.0,459.0,504.0,440.0,1162.0,1064.0,747.0,769.0,990.0,1156.0,933.0
