year,doy,label,BLU,GRN,RED,NIR,SW1,SW2,RE1,RE2,RE3,BNR
20221028,28,0.895788,581.0,682.0,655.0,1270.0,1274.0,968.0,912.0,1120.0,1208.0,1352.0
20221030,30,0.895788,623.0,775.0,760.0,1362.0,1390.0,1170.0,981.0,1276.0,1218.0,1460.0
20221102,33,0.895788,531.0,628.0,770.0,1419.0,1588.0,1329.0,1006.0,1238.0,1330.0,1347.0
20221114,45,0.895788,476.0,636.0,756.0,1366.0,1518.0,1390.0,1066.0,1285.0,1238.0,1397.0
20221127,58,0.895788,398.0,462.0,787.0,1462.0,1837.0,1592.0,1141.0,1304.0,1356.0,1329.0
20230116,108,0.895788,250.0,373.0,734.0,1133.0,1659.0,1503.0,1062.0,1120.0,1220.0,1114.0
20230421,203,0.895788,434.0,668.0,563.0,1429.0,1314.0,1090.0,935.0,1311.0,1313.0,1435.0
20230503,215,0.895788,354.0,664.0,481.0,2211.0,1559.0,1156.0,1042.0,1921.0,2107.0,2354.0
20230508,220,0.895788,326.0,556.0,392.0,2335.0,1530.0,1148.0,910.0,2041.0,2134.0,2414.0
20230513,225,0.895788,391.0,563.0,463.0,2398.0,1624.0,1160.0,965.0,1960.0,2454.0,2589.0
20230526,238,0.895788,460.0,654.0,550.0,2286.0,1552.0,1121.0,879.0,2012.0,2264.0,2492.0
20230528,240,0.895788,431.0,593.0,533.0,2455.0,1650.0,1195.0,920.0,1947.0,2325.0,2485.0
20230605,248,0.895788,493.0,720.0,632.0,2416.0,1564.0,1110.0,966.0,1985.0,2373.0,2493.0
20230707,280,0.895788,461.0,592.0,535.0,2457.0,1707.0,1227.0,867.0,2044.0,2247.0,2598.0
20230712,285,0.895788,429.0,370.0,285.0,579.0,336.0,227.0,335.0,459.0,522.0,662.0
20230717,290,0.895788,486.0,515.0,444.0,1539.0,1016.0,697.0,597.0,1235.0,1488.0,1652.0
20230816,320,0.895788,399.0,522.0,446.0,2159.0,1454.0,1076.0,739.0,1802.0,1976.0,2372.0
20230819,323,0.895788,454.0,581.0,523.0,1953.0,1291.0,937.0,783.0,1591.0,1896.0,2020.0
20230824,328,0.895788,357.0,458.0,466.0,1914.0,1406.0,991.0,778.0,1554.0,1826.0,2076.0
20230905,340,0.895788,267.0,393.0,338.0,2058.0,1404.0,1100.0,655.0,1560.0,1808.0,2033.0
20230908,343,0.895788,337.0,492.0,464.0,1836.0,1238.0,970.0,733.0,1439.0,1796.0,1960.0
20230910,345,0.895788,287.0,458.0,418.0,1962.0,1413.0,1067.0,740.0,1558.0,1748.0,1984.0
20230915,350,0.895788,317.0,429.0,439.0,2006.0,1395.0,1010.0,751.0,1445.0,1635.0,1924.0
20230925,360,0.895788,357.0,432.0,431.0,1795.0,1274.0,981.0,713.0,1370.0,1626.0,1876.0
