year,doy,label,BLU,GRN,RED,NIR,SW1,SW2,RE1,RE2,RE3,BNR
20221028,28,0.0,687.0,786.0,775.0,1105.0,1011.0,769.0,885.0,1013.0,1025.0,1076.0
20221030,30,0.0,726.0,788.0,718.0,1027.0,980.0,788.0,822.0,913.0,977.0,1085.0
20221102,33,0.0,491.0,565.0,516.0,854.0,791.0,656.0,642.0,853.0,867.0,1004.0
20221114,45,0.0,556.0,673.0,704.0,937.0,847.0,678.0,805.0,819.0,917.0,1196.0
20221127,58,0.0,295.0,347.0,372.0,660.0,669.0,499.0,405.0,540.0,572.0,649.0
20230116,108,0.0,193.0,185.0,237.0,465.0,608.0,450.0,359.0,403.0,443.0,508.0
20230421,203,0.0,627.0,715.0,720.0,1102.0,1084.0,982.0,852.0,1053.0,1030.0,1066.0
20230503,215,0.0,708.0,817.0,826.0,1463.0,1424.0,1182.0,985.0,1262.0,1363.0,1263.0
20230508,220,0.0,672.0,778.0,795.0,1518.0,1443.0,1201.0,974.0,1334.0,1452.0,1358.0
20230513,225,0.0,763.0,806.0,859.0,1575.0,1535.0,1257.0,1043.0,1373.0,1485.0,1439.0
20230526,238,0.0,708.0,772.0,805.0,1751.0,1423.0,1086.0,953.0,1482.0,1652.0,1498.0
20230528,240,0.0,781.0,840.0,890.0,1806.0,1596.0,1301.0,995.0,1505.0,1608.0,1535.0
20230605,248,0.0,735.0,812.0,839.0,1697.0,1408.0,1076.0,940.0,1468.0,1606.0,1529.0
20230607,250,0.0,1007.0,1142.0,1183.0,1990.0,1767.0,1417.0,1190.0,1757.0,1869.0,1818.0
20230707,280,0.0,800.0,937.0,916.0,1733.0,1639.0,1355.0,1041.0,1558.0,1665.0,1586.0
20230715,288,0.0,916.0,974.0,969.0,1942.0,1506.0,1141.0,1133.0,1536.0,1794.0,1582.0
20230816,320,0.0,733.0,802.0,884.0,1522.0,1375.0,1074.0,884.0,1406.0,1513.0,1396.0
20230819,323,0.0,665.0,750.0,734.0,1474.0,1169.0,943.0,836.0,1208.0,1404.0,1318.0
20230824,328,0.0,655.0,659.0,688.0,1520.0,1257.0,988.0,824.0,1220.0,1490.0,1313.0
20230905,340,0.0,580.0,633.0,658.0,1474.0,1295.0,1036.0,796.0,1263.0,1332.0,1095.0
20230908,343,0.0,570.0,605.0,639.0,1329.0,1072.0,925.0,743.0,1088.0,1240.0,1091.0
20230910,345,0.0,537.0,655.0,612.0,1256.0,1193.0,972.0,827.0,1187.0,1212.0,1092.0
20230915,350,0.0,654.0,698.0,679.0,1234.0,1221.0,929.0,807.0,1118.0,1238.0,1122.0
20230925,360,0.0,629.0,729.0,677.0,1351.0,1193.0,916.0,804.0,1124.0,1251.0,1067.0
