year,doy,label,BLU,GRN,RED,NIR,SW1,SW2,RE1,RE2,RE3,BNR
20221028,28,0.011923,1115.0,1136.0,1070.0,1584.0,1255.0,768.0,1222.0,1387.0,1563.0,1709.0
20221030,30,0.011923,1272.0,1318.0,1293.0,1604.0,1232.0,823.0,1266.0,1470.0,1564.0,1830.0
20221102,33,0.011923,894.0,820.0,763.0,1538.0,1266.0,1120.0,982.0,1282.0,1395.0,1304.0
20221114,45,0.011923,781.0,777.0,710.0,1278.0,1068.0,700.0,1057.0,1222.0,1190.0,1077.0
20221127,58,0.011923,539.0,648.0,550.0,1192.0,902.0,552.0,825.0,955.0,1131.0,935.0
20230116,108,0.011923,490.0,484.0,513.0,1060.0,961.0,584.0,717.0,830.0,1087.0,832.0
20230421,203,0.011923,739.0,896.0,839.0,1740.0,1316.0,989.0,1167.0,1589.0,1648.0,2061.0
20230503,215,0.011923,722.0,1022.0,850.0,2169.0,1725.0,1180.0,1208.0,1875.0,2125.0,2374.0
20230508,220,0.011923,682.0,865.0,746.0,2309.0,1771.0,1191.0,1272.0,1914.0,2217.0,2481.0
20230513,225,0.011923,728.0,1025.0,894.0,2516.0,1866.0,1289.0,1284.0,2101.0,2285.0,2598.0
20230526,238,0.011923,743.0,998.0,838.0,2422.0,1614.0,1027.0,1290.0,1939.0,2266.0,2733.0
20230528,240,0.011923,699.0,913.0,828.0,2550.0,1827.0,1243.0,1170.0,2168.0,2396.0,2820.0
20230605,248,0.011923,785.0,1094.0,934.0,2561.0,1710.0,1117.0,1207.0,2121.0,2359.0,2878.0
20230607,250,0.011923,850.0,1014.0,906.0,2651.0,1885.0,1224.0,1301.0,2187.0,2487.0,2922.0
20230707,280,0.011923,732.0,999.0,868.0,2816.0,1818.0,1208.0,1207.0,2282.0,2683.0,3089.0
20230816,320,0.011923,750.0,934.0,836.0,2678.0,1639.0,971.0,1251.0,2055.0,2516.0,3087.0
20230819,323,0.011923,745.0,971.0,812.0,2365.0,1340.0,894.0,1111.0,1863.0,2117.0,2824.0
20230824,328,0.011923,619.0,850.0,707.0,2510.0,1320.0,806.0,1258.0,2074.0,2419.0,2686.0
20230905,340,0.011923,684.0,814.0,744.0,2102.0,1418.0,950.0,1106.0,1725.0,1992.0,2964.0
20230908,343,0.011923,700.0,904.0,800.0,2126.0,1230.0,817.0,965.0,1612.0,1882.0,2484.0
20230910,345,0.011923,718.0,892.0,789.0,2268.0,1415.0,920.0,1147.0,1835.0,2155.0,2742.0
20230915,350,0.011923,778.0,958.0,887.0,1998.0,1316.0,870.0,919.0,1836.0,2044.0,2492.0
20230925,360,0.011923,885.0,1010.0,946.0,1861.0,1308.0,851.0,1124.0,1776.0,1878.0,2431.0
